Location code,Total
108,
108,
174,
174,
262,
262,
232,
232,
231,
231,
404,
404,
450,
450,
454,
454,
480,
480,
175,
175,
508,
508,
638,
638,
646,
646,
690,
690,
706,
706,
728,
728,
800,
800,
834,
834,
894,
894,
716,
716,
24,
24,
120,
120,
140,
140,
148,
148,
178,
178,
180,
180,
226,
226,
266,
266,
678,
678,
12,
12,
818,
818,
434,
434,
504,
504,
729,
729,
788,
788,
732,
732,
72,
72,
748,
748,
426,
426,
516,
516,
710,
710,
204,
204,
854,
854,
132,
132,
384,
384,
270,
270,
288,
288,
324,
324,
624,
624,
430,
430,
466,
466,
478,
478,
562,
562,
566,
566,
654,
654,
686,
686,
694,
694,
768,
768,
398,
398,
417,
417,
762,
762,
795,
795,
860,
860,
156,
156,
344,
344,
446,
446,
158,
158,
408,
408,
392,20020020020020.0
392,50050.0
496,
496,
410,
410,
96,
96,
116,
116,
360,
360,
418,
418,
458,
458,
104,
104,
608,
608,
702,
702,
764,
764,
626,
626,
704,
704,
4,
4,
50,
50,
64,
64,
356,
356,
364,
364,
462,
462,
524,
524,
586,
586,
144,
144,
51,
51,
31,
31,
48,
48,
196,
196,
268,
268,
368,
368,
376,
376,
400,
400,
414,
414,
422,
422,
512,
512,
634,
634,
682,
682,
275,
275,
760,
760,
792,
792,
784,
784,
887,
887,
112,
112,
100,
100,
203,
203,
348,
348,
616,
616,
498,
498,
642,
642,
643,
643,
703,
703,
804,
804,
830,
830,
208,
208,
233,
233,
234,
234,
246,
246,
352,
352,
372,
372,
833,
833,
428,
428,
440,
440,
578,
578,
752,
752,
826,
826,
8,
8,
20,20020020020020.0
20,50050.0
70,
70,
191,
191,
292,
292,
300,
300,
336,
336,
380,
380,
470,
470,
499,
499,
807,
807,
620,
620,
674,
674,
688,
688,
705,
705,
724,
724,
40,
40,
56,
56,
250,
250,
276,
276,
438,
438,
442,
442,
492,
492,
528,
528,
756,
756,
660,
660,
28,
28,
533,
533,
44,
44,
52,
52,
535,
535,
92,
92,
136,
136,
192,
192,
531,
531,
212,
212,
214,
214,
308,
308,
312,
312,
332,
332,
388,
388,
474,
474,
500,
500,
630,
630,
652,
652,
659,
659,
662,
662,
663,
663,
670,
670,
534,
534,
780,
780,
796,
796,
850,
850,
84,
84,
188,
188,
222,
222,
320,
320,
340,
340,
484,
484,
558,
558,
591,
591,
32,
32,
68,
68,
76,
76,
152,
152,
170,
170,
218,
218,
238,
238,
254,
254,
328,
328,
600,
600,
604,
604,
740,
740,
858,
858,
862,
862,
60,
60,
124,
124,
304,
304,
666,
666,
840,
840,
36,
36,
554,
554,
242,
242,
540,
540,
598,
598,
90,
90,
548,
548,
316,
316,
296,
296,
584,
584,
583,
583,
520,
520,
580,
580,
585,
585,
16,
16,
184,
184,
258,
258,
570,
570,
882,
882,
772,
772,
776,
776,
798,
798,
876,
876,
