Location code,0-4,05-Sep,Oct-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4.1,5-9.1,10-14.1, 15-19.1,20-24.1,25-29.1,30-34.1,35-39.1,40-44.1,45-49.1,50-54.1,55-59.1,60-64.1,65-69.1,70-74.1,75+.1,Total.1,0-4.2,5-9.2,10-14.2, 15-19.2,20-24.2,25-29.2,30-34.2,35-39.2,40-44.2,45-49.2,50-54.2,55-59.2,60-64.2,65-69.2,70-74.2,75+.2,Total.2
4,0.345843435,0.255953272,0.255348785,0.278867121,0.281422188,0.372099186,0.470895092,0.534092075,0.598653301,0.671706767,0.695397628,0.686894295,0.652424433,0.557031682,0.22659553,0.208448175,0.370162191,0.320904614,0.223957789,0.217825486,0.238147204,0.246371474,0.332692656,0.436141052,0.518926348,0.594571554,0.68367133,0.718081287,0.715398696,0.712597638,0.601937515,0.264520085,0.23759757,0.346356038,0.372065706,0.289560125,0.294514751,0.321873734,0.318456992,0.414456256,0.509185524,0.55048471,0.603134173,0.658794282,0.671541086,0.657317258,0.592735656,0.51478704,0.195706081,0.184875836,0.395254852
8,5.535308339,3.998114041,3.089141145,2.389314469,1.845364256,1.49515191,1.689859059,1.365306355,1.175660612,0.733685612,0.566821402,0.418511585,0.4317303,0.445810701,0.489216883,1.337778972,1.696087289,5.587773208,4.049833584,3.01643341,2.400723041,2.038782013,1.482403706,1.608050035,1.315934611,1.224043428,0.777434466,0.494892886,0.285847507,0.312623404,0.389478357,0.385187445,1.040993789,1.70053676,5.478335048,3.941269324,3.173189408,2.376337292,1.640806617,1.509486462,1.788905233,1.42405271,1.127731224,0.694775334,0.633354585,0.545267888,0.54567396,0.499012793,0.587179027,1.601031359,1.691475253
12,0.202399357,0.143874898,0.229261407,0.463244048,0.64220156,0.664768075,0.659411291,0.603126244,0.669867476,0.817878986,0.924591296,1.055419141,1.133966967,0.969121763,1.010860046,0.974671034,0.570973876,0.215068635,0.154565318,0.248346452,0.485085033,0.659688771,0.675989274,0.670618688,0.624644164,0.69850849,0.830577508,0.935095545,1.115792894,1.213979102,1.071796103,1.147568783,1.174553562,0.596475333,0.189182705,0.132726107,0.209389517,0.440505154,0.62397366,0.653227514,0.6480384,0.58138843,0.641066163,0.805247051,0.914172328,0.995209527,1.051700571,0.862253642,0.875841865,0.79883392,0.544935795
16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.77044042,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.98401605,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
24,0.813562855,0.717551395,0.620933073,0.83390941,1.746013795,3.03234493,3.922564029,4.348114374,4.592261938,4.739288751,5.141435852,4.481908502,4.628315573,5.071579218,4.737592524,4.506201916,1.997287918,0.652434023,0.556021936,0.47101558,0.632310935,1.393795011,2.795051631,4.288264561,5.209117625,5.624354446,5.857321171,6.39620155,5.407892047,5.410297228,5.415975268,5.402422102,5.333019651,2.038027486,0.977610927,0.881139784,0.769746723,1.032240311,2.090000514,3.2621816,3.571644622,3.528909414,3.619191394,3.702007875,3.991987304,3.588726283,3.918744039,4.756383435,4.1988602,3.963526132,1.957393614
28,3.290278722,4.496402878,14.74904608,20.53027081,30.21506795,40.98427888,42.34361732,46.17245304,44.41873916,39.58813364,38.24091778,39.88065639,37.54830399,29.12850812,24.990004,20.0983405,30.0077608,3.351206434,4.580152672,14.92017417,20.90934606,27.09694278,36.3985726,37.18518519,41.01633394,40.0436273,37.22397476,36.56220323,39.62670495,37.9787725,29.78453739,25.45141874,18.98648649,27.75603461,3.227586207,4.41011236,14.57405758,20.14326648,33.39552239,45.53376906,47.06041723,50.75228372,48.20609657,41.57392687,39.6978022,40.09855251,37.17382577,28.55561704,24.58893871,21.0259301,32.10880594
31,0.912287163,0.867029188,1.139180861,1.405285632,1.733212631,1.937163008,2.117663558,2.650624011,3.540172085,3.726090581,3.169390038,2.589993978,3.030089451,4.48684202,8.412315261,10.66200129,2.48765802,0.976372967,0.905623162,1.168806182,1.397464587,1.676067815,1.868294241,2.05854304,2.564158551,3.473144172,3.731784333,3.207929987,2.60663661,3.017375923,4.258922908,8.472609099,12.21338381,2.389240431,0.840566985,0.822645356,1.104962144,1.414311453,1.796523029,2.00785196,2.175530953,2.736858915,3.60542924,3.720830096,3.13481138,2.575132194,3.04111732,4.673981228,8.367746142,9.738991604,2.58588463
32,1.758365981,2.627218539,2.909990988,3.672605538,5.810685482,7.612444461,7.84985146,6.68254745,5.13123236,5.235300206,5.385642371,5.157005269,4.819419737,4.888848632,6.36146701,7.345032583,5.048542478,1.772855892,2.625336862,2.880100217,3.543750278,5.491116661,7.244382355,7.27532398,6.184105368,4.767296641,4.902489226,5.030589894,4.984686957,4.810361832,5.036801828,6.697289229,7.966733967,4.818930402,1.743321196,2.629170951,2.940984949,3.805910137,6.139226885,7.986870207,8.423862632,7.17406584,5.482759608,5.548208483,5.712607093,5.311408303,4.827311487,4.766151649,6.105120743,6.996831271,5.267267621
36,5.688003943,6.703605941,12.27301571,28.09825081,41.58555797,41.68402694,33.94216142,34.81241077,35.82569283,32.15484673,34.08514532,35.26869243,34.34663869,34.38569079,37.5544477,35.98440934,30.14076811,5.727820091,6.77684162,12.44021282,28.52760539,42.3646055,39.77630111,33.40378997,34.63857611,35.36158881,31.92898443,33.99394486,34.6555903,34.38199137,35.48130879,39.20453684,37.45898021,30.02047072,5.645967535,6.626444896,12.09705783,27.64862997,40.77878741,43.67611323,34.48266651,34.98630185,36.28527402,32.37689655,34.17398244,35.87033942,34.31280301,33.34051936,35.98806737,34.79099768,30.26010104
40,4.112984921,9.513257718,11.09858012,13.84309304,21.98891031,26.93219434,31.0831853,29.14105309,29.2903812,26.41838385,21.09699023,16.9661614,15.96856256,16.81468521,13.70676278,11.42637122,19.29942041,4.11001719,9.486990673,11.13782308,14.47512676,22.25168179,26.50176565,30.57686645,28.31965012,27.79902826,24.86595372,21.27837649,17.16276763,15.3883444,16.15339674,13.10952988,11.23209642,19.1093254,4.116123819,9.541306669,11.05670518,13.16878821,21.70712831,27.38821932,31.60825751,29.97895747,30.79866025,27.96085604,20.91506571,16.76948768,16.52339827,17.41166741,14.21543889,11.55771162,19.48422814
44,5.553502808,6.05490786,7.231649251,8.648698542,10.64903272,16.12239961,25.69694806,27.07164201,24.58570548,20.49863412,18.6906019,17.32127003,18.98316652,21.73729529,23.20827621,23.67254551,16.16867727,5.951352907,6.037072313,6.884219937,8.629002349,10.13877258,14.34779984,26.13751264,28.89824024,26.59212813,22.74774775,20.37891269,19.41102532,20.90246355,24.48674879,27.54727632,30.40695016,16.83002517,5.133657351,6.073719187,7.579634131,8.668218574,11.15746811,17.90366556,25.26642671,25.41052046,22.73361227,18.45595513,17.16434582,15.46144626,17.39717491,19.46670777,19.77678571,18.94365067,15.54351859
48,38.735262,9.45939808,3.175764357,8.033655414,23.57336067,47.54123524,80.00381652,86.65714606,75.53916081,78.50048416,71.4635919,65.86175365,51.3054078,41.44135745,23.30717284,6.413282971,55.01312601,39.12979783,9.250807651,3.351180283,7.746667491,27.27393214,53.37872445,80.26872639,88.11103614,84.29388126,87.46187364,88.86559067,91.02605434,62.28666474,46.99816132,22.9604299,6.841146265,63.0853614,38.33214834,9.695994416,3.002926037,8.378753345,18.54481836,35.07256947,79.20723132,82.36498451,56.67666518,59.69424203,40.47749538,31.4242169,33.91548328,33.66879123,23.74922151,6.026083046,40.23496571
50,1.329554858,1.186184701,1.098740443,0.628489541,1.218303344,1.685964849,1.609769435,1.397539986,1.363413045,1.782126749,1.59667999,1.163394573,1.13974592,1.155501551,0.800285428,0.669085389,1.28448353,1.316044536,1.189146868,1.121073208,0.631914008,1.181728828,1.694493025,1.684107887,1.532040955,1.431956669,1.924176958,1.641205891,1.176837443,1.132910739,1.137345438,0.818213304,0.745843889,1.313943935,1.343667068,1.18309463,1.075422638,0.624900622,1.256076628,1.677448914,1.537614783,1.267320502,1.296298419,1.639751347,1.549678037,1.148874733,1.147362457,1.176196915,0.781474813,0.599358107,1.254361477
51,0.915667823,1.050160844,2.440880208,4.172996944,5.483379321,6.034152659,5.792485525,4.968702748,4.454311461,7.63511141,9.174604147,6.752324497,7.542076608,12.11002048,16.04045386,22.14689518,6.423691143,0.911172288,1.03921931,2.364762768,3.858337626,5.026526198,5.520099238,5.25486033,4.75829979,3.981358955,6.818772484,8.616354881,6.42997056,6.780607155,11.63540445,16.47828145,20.10138996,5.60252327,0.920662383,1.062566722,2.52795333,4.535244681,5.991384468,6.506077786,6.273897776,5.146131448,4.850077994,8.304005738,9.597863312,6.993105019,8.110023475,12.44770556,15.74771994,23.29234098,7.152910473
52,4.093915344,3.619821913,6.702000342,9.949907725,14.80100165,16.70476899,16.03778797,14.70851075,15.61901723,15.60479692,15.71683219,13.79242402,12.70226537,11.34836693,10.95971066,7.858024106,12.13379221,4.397606037,3.873015873,6.309537151,9.664512158,14.42499214,15.82863825,15.05268996,13.99611818,14.19739696,13.79770209,14.01958697,12.63091082,11.49882904,9.971181556,9.88690259,7.001470422,11.26513474,3.779930051,3.358257904,7.108070501,10.25168149,15.18959913,17.58136567,17.0151882,15.38619346,16.98664441,17.28007608,17.27370374,14.80457227,13.73,12.52934635,11.87763384,8.47707022,12.94853898
56,4.034858195,8.202376504,10.39005524,12.88410099,18.03263484,23.39538402,27.0000469,26.91230691,26.15472227,24.16058461,20.49410931,17.56653292,16.1300273,14.29880641,12.93039212,10.66380914,17.30410222,4.022173126,8.163029072,10.31450472,13.18636593,17.68967498,21.73834769,25.30784748,25.98527307,25.69800331,24.10654913,20.80962228,17.4592627,16.06771753,14.43624525,13.11808118,10.74417085,17.13195696,4.048328734,8.244407899,10.47017596,12.56467703,18.39469901,25.1265352,28.71204115,27.83799608,26.62550495,24.21723499,20.16650182,17.67634269,16.19141911,14.17014064,12.76511485,10.61032339,17.4732746
60,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.69752541,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
64,1.125988568,1.51678957,1.525738346,2.341890148,4.237767131,14.51155608,14.57909612,11.60840494,10.88612631,10.23672099,9.023930037,7.301463415,4.149650284,3.146427427,1.952328681,1.742160279,6.948051611,1.395434803,1.915806195,1.849759115,3.407303371,7.394028192,22.42806374,24.23918587,18.85057471,16.94120175,15.88413922,13.89866488,10.80582022,5.758037074,4.113140837,2.390939597,2.083136959,11.10105904,0.847349643,1.104990491,1.191898765,1.230588925,0.639364092,4.7554463,3.065566652,2.905797608,3.320059063,3.49252399,3.389721074,3.375806719,2.377663773,1.994382022,1.392359871,1.336027843,2.237189683
68,1.596711596,1.500481728,1.418417725,1.350243339,1.433172892,1.648799963,1.650046788,1.410914999,1.272374735,1.365920015,1.33739247,1.297422028,1.153808401,0.993454592,0.895581973,0.68404526,1.405984685,1.595804371,1.515128876,1.427029033,1.288277828,1.45849966,1.709351432,1.76015218,1.541845644,1.407085832,1.508774408,1.48271985,1.464811205,1.329090343,1.103280789,0.972070482,0.727198962,1.467407327,1.597660193,1.485185423,1.409434713,1.414715845,1.40702367,1.586783865,1.538436639,1.279313801,1.138170558,1.225073804,1.195427264,1.135698396,0.987418102,0.891704799,0.826369467,0.650088758,1.344107749
70,1.064883606,0.815026118,0.724453763,0.869512528,1.079715777,1.76693176,1.675254754,1.436363636,1.597351485,1.487650649,1.225047333,0.834684799,0.743903094,0.655462791,0.799704381,0.643514524,1.098568496,1.1414262,0.870307372,0.764188615,0.875889854,1.009421868,1.563606817,1.451263538,1.287529244,1.460670137,1.361708784,1.15750672,0.813639931,0.691780881,0.62235667,0.789808098,0.705865744,1.050660117,0.983459299,0.756642842,0.682659542,0.8628789,1.154665978,1.981165211,1.91030923,1.590465617,1.737534975,1.617214529,1.290906452,0.854005693,0.79150457,0.684577519,0.807275323,0.604976514,1.144542547
