Country,Researcher,Titles 1,Links 1,Titles 2,Links 2,Titles 3,Links 3,Titles 4,Links 4,Titles 5,LInks 5
Afghanistan,Lakshay,"['us', 'announces', 'withdrawal', 'from', 'afghanistan', 'after', 'years', 'august']",https://www.factcheck.org/2021/08/timeline-of-u-s-withdrawal-from-afghanistan/,"['taliban', 'seize', 'kabul', 'as', 'afghan', 'government', 'collapses', 'august']",https://apnews.com/article/afghanistan-taliban-kabul-bagram-e1ed33fe0c665ee67ba132c51b8e32a5,"['scramble', 'to', 'evacuate', 'kabul', 'as', 'taliban', 'takeover', 'creates', 'chaos', 'august']",https://www.wsj.com/articles/three-killed-in-kabul-airport-as-afghans-scramble-to-escape-taliban-11629096273,"['humanitarian', 'crisis', 'deepens', 'in', 'afghanistan', 'under', 'taliban', 'rule', 'various', 'reports']",https://www.usip.org/publications/2022/08/year-taliban-rule-afghans-face-spiraling-economic-humanitarian-crises,"['uncertain', 'future', 'for', 'womens', 'rights', 'in', 'afghanistan']",https://www.brookings.edu/articles/the-fate-of-womens-rights-in-afghanistan/
Armenia,Lakshay,"['velvet', 'revolution']",https://www.bbc.com/news/world-europe-43948181,"['nagornokarabakh', 'war']",https://www.cfr.org/global-conflict-tracker/conflict/nagorno-karabakh-conflict,"['armeniaturkey', 'normalization', 'talks']",https://www.rferl.org/a/turkey-armenia-talks-nagorno-karabakh/31749816.html,"['economic', 'reforms', 'eu', 'relations']",https://www.cfr.org/interview/armenias-tricky-eu-russia-balancing-act,"['parliament', 'votes', 'to', 'join', 'international', 'criminal', 'court']",https://www.theguardian.com/world/2023/oct/03/armenias-parliament-defies-russia-in-vote-to-join-international-criminal-court
Azerbaijan,Lakshay,"['nagornokarabakh', 'war']",https://www.cfr.org/global-conflict-tracker/conflict/nagorno-karabakh-conflict,"['discovery', 'of', 'gas', 'reserves']",https://www.iea.org/reports/azerbaijan-energy-profile/energy-security,"['caspian', 'sea', 'development']",https://www.iucn.org/news/protected-areas/201802/azerbaijan-create-first-marine-protected-area-caspian-sea,"['political', 'reforms', 'opposition', 'crackdown']",https://www.amnesty.org/en/latest/news/2021/12/azerbaijan-stop-crackdown-on-opposition-politicians/,"['relations', 'with', 'iran']",https://eurasianet.org/azerbaijan-iran-normalization-on-the-horizon
Bahrain,Lakshay,"['arab', 'spring', 'protests']",https://www.reuters.com/article/us-bahrain-uprising-timeline/timeline-the-2011-uprising-in-bahrain-and-whats-happened-since-idUSKBN2AG1K6/,"['shia', 'unrest', 'sectarian', 'tensions']",https://www.aljazeera.com/features/2011/5/1/shia-in-bahrain-repression-and-regression,"['normalization', 'with', 'israel']",https://www.jpost.com/israel-news/trump-expected-to-announce-historic-bahrain-israel-normalization-agreement-641961,"['economic', 'diversification', 'efforts']",https://www.researchgate.net/publication/327283913_Economic_Diversification_in_Bahrain,"['us', 'military', 'presence']",https://www.atlanticcouncil.org/blogs/new-atlanticist/bahrain-us-strategic-pact-gulf/
Bangladesh,Lakshay,"['rohingya', 'refugee', 'crisis', 'ongoing']",https://www.unocha.org/asia-and-pacific,"['readymade', 'garment', 'industry']",https://en.wikipedia.org/wiki/Textile_industry_in_Bangladesh,"['cyclone', 'disasters', 'climate', 'change']",https://www.climaterealityproject.org/blog/how-climate-crisis-impacting-bangladesh,"['digital', 'transformation', 'tech', 'innovation']",https://www.undp.org/bangladesh/blog/digital-bangladesh-innovative-bangladesh-road-2041,"['political', 'landscape', 'elections']",https://freedomhouse.org/country/bangladesh/freedom-world/2023
Bhutan,Lakshay,"['king', 'jigme', 'khesar', 'namgyel', 'wangchucks', 'coronation']",https://www.patagonia.com/stories/bhutan/story-19990.html,"['focus', 'on', 'gross', 'national', 'happiness', 'gnh']",https://www.investopedia.com/terms/g/gnh.asp,"['ecotourism', 'conservation', 'efforts']",https://www.worldwildlife.org/projects/bhutan-committed-to-conservation,"['hydropower', 'development', 'energy', 'exports']",https://www.adb.org/features/bhutan-s-hydropower-sector-12-things-know,"['media', 'reforms', 'freedom', 'of', 'expression']",https://thediplomat.com/2018/08/when-freedom-of-expression-isnt-free-journalism-facebook-and-censorship-in-bhutan/
Brunei,Lakshay,"['sultan', 'hassanal', 'bolkiahs', 'golden', 'jubilee']",https://www.scmp.com/news/asia/southeast-asia/article/2114128/golden-jubilee-brunei-celebrates-50-years-throne-sultan,"['bruneis', 'sharia', 'law']",https://www.bbc.com/news/world-asia-47906070,"['economic', 'diversification', 'challenges']",https://amro-asia.org/brunei-darussalam-further-economic-diversification-efforts-needed-to-maintain-recovery-momentum/,"['environmental', 'issues', 'deforestation']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069679,"['brunei', 'asean', 'relations']",https://en.wikipedia.org/wiki/Foreign_relations_of_Brunei
Cambodia,Lakshay,"['trial', 'of', 'khmer', 'rouge', 'leaders']",https://www.usip.org/publications/2022/10/never-again-legacy-cambodias-khmer-rouge-trials,"['angkor', 'wat', 'restoration', 'efforts']",https://www.latimes.com/archives/la-xpm-1989-08-06-mn-186-story.html,"['cambodiachina', 'relations']",https://www.rfa.org/english/news/special/chinacambodia/relation.html,"['land', 'disputes', 'social', 'unrest']",https://www.dandc.eu/en/article/why-land-disputes-have-become-serious-and-persistent-issue-cambodia,"['garment', 'industry', 'labor', 'rights']",https://borgenproject.org/labor-rights-violations-cambodian-garment-industry/
China,Lakshay,"['covid', 'pandemic', 'present']",https://karger.com/dmj/article/3/2/44/106842/China-s-Response-to-the-COVID-19-Outbreak-A-Model,"['chinas', 'belt', 'and', 'road', 'initiative', 'bri']",https://www.usip.org/publications/2023/10/why-china-rebooting-belt-and-road-initiative,"['tensions', 'in', 'the', 'south', 'china', 'sea']",https://www.bloomberg.com/graphics/2020-south-china-sea-miscalculation/,"['chinas', 'economic', 'slowdown']",https://piie.com/blogs/realtime-economics/how-serious-chinas-economic-slowdown,"['tech', 'innovation', 'ai', 'development']",https://cset.georgetown.edu/article/in-out-of-china-financial-support-for-ai-development/
Cyprus,Avinash,"['cyprus', 'minister', 'says', 'his', 'nation', 'leads', 'eu', 'in', 'repatriations', 'and', 'migrant', 'arrivals', 'are', 'down', 'sharply']",https://apnews.com/article/cyprus-migrants-repatriations-arrivals-asylum-aedf8a17e9055d824b362377c58a0314,"['cyprus', 'calls', 'for', 'eu', 'rethink', 'on', 'syria', 'migration', 'as', 'refugee', 'numbers', 'rise']",https://cyprus-mail.com/2023/12/14/cyprus-calls-for-eu-rethink-on-syria-migration-as-refugee-numbers-rise/,"['cyprus', 'sets', 'new', 'eu', 'trend', 'on', 'migrant', 'repatriation']",https://etias.com/articles/cyprus-eu-migrant-repatriation-trend,"['holistic', 'approach', 'needed', 'on', 'migration', 'cyprus', 'says', 'not', 'just', 'cash']",https://www.usnews.com/news/world/articles/2024-02-12/holistic-approach-needed-on-migration-cyprus-says-not-just-cash,"['cyprus’', 'refugee', 'crisis', 'risks', 'boiling', 'over']",https://www.politico.eu/article/cyprus-buffeted-by-influx-of-asylum-seekers-kofinou-camp-migration/
