Location code of destination,Location code of origin,Males Avg,male/female,Country
108,56,277.142857142857,male,Belgium
108,56,326.222222222222,female,Belgium
108,180,53268.4285714286,male,Democratic Republic of the Congo
108,180,58216.6031746032,female,Democratic Republic of the Congo
108,250,139.142857142857,male,France*
108,250,162.222222222222,female,France*
108,404,339.428571428571,male,Kenya
108,404,308.444444444444,female,Kenya
108,646,48084.2857142857,male,Rwanda
108,646,57516.253968254,female,Rwanda
108,800,586,male,Uganda
108,800,601.460317460318,female,Uganda
108,834,8439.28571428571,male,United Republic of Tanzania*
108,834,10299.6507936508,female,United Republic of Tanzania*
174,250,291,male,France*
174,250,259.206349206349,female,France*
174,404,36.4285714285714,male,Kenya
174,404,47.5873015873016,female,Kenya
174,450,4722,male,Madagascar
174,450,5892.38095238095,female,Madagascar
174,638,477.142857142857,male,Réunion*
174,638,481.015873015873,female,Réunion*
174,834,74.4285714285714,male,United Republic of Tanzania*
174,834,86.5079365079365,female,United Republic of Tanzania*
262,231,5160.85714285714,male,Ethiopia
262,231,6838.79365079365,female,Ethiopia
262,706,47070.5714285714,male,Somalia
262,706,46232.5714285714,female,Somalia
262,887,881,male,Yemen
262,887,1025.74603174603,female,Yemen
232,24,214,male,Angola
232,24,194.730158730159,female,Angola
232,108,559.428571428571,male,Burundi
232,108,570.793650793651,female,Burundi
232,156,79.4285714285714,male,China*
232,156,26.4126984126984,female,China*
232,174,59.2857142857143,male,Comoros
232,174,64.8571428571429,female,Comoros
232,180,642.857142857143,male,Democratic Republic of the Congo
232,180,621.714285714286,female,Democratic Republic of the Congo
232,231,294.714285714286,male,Ethiopia
232,231,299.777777777778,female,Ethiopia
232,250,141.571428571429,male,France*
232,250,151.587301587302,female,France*
232,356,32.1428571428571,male,India
232,356,50.5714285714286,female,India
232,404,150.285714285714,male,Kenya
232,404,128.380952380952,female,Kenya
232,454,246.428571428571,male,Malawi
232,454,248.793650793651,female,Malawi
232,508,691.571428571429,male,Mozambique
232,508,873.68253968254,female,Mozambique
232,646,267.714285714286,male,Rwanda
232,646,297.968253968254,female,Rwanda
232,706,1345,male,Somalia
232,706,1364.79365079365,female,Somalia
232,710,75.8571428571429,male,South Africa
232,710,62.952380952381,female,South Africa
232,716,147.714285714286,male,Zimbabwe
232,716,87.4285714285714,female,Zimbabwe
232,728,744.714285714286,male,South Sudan
232,728,590,female,South Sudan
232,729,104,male,Sudan
232,729,82.6666666666667,female,Sudan
232,800,678.714285714286,male,Uganda
232,800,479.968253968254,female,Uganda
232,826,16.4285714285714,male,United Kingdom*
232,826,28.4126984126984,female,United Kingdom*
232,834,198,male,United Republic of Tanzania*
232,834,210.984126984127,female,United Republic of Tanzania*
232,894,108.142857142857,male,Zambia
232,894,78.2539682539683,female,Zambia
231,108,42.4285714285714,male,Burundi
231,108,45.6190476190476,female,Burundi
231,180,288,male,Democratic Republic of the Congo
231,180,315.174603174603,female,Democratic Republic of the Congo
231,232,40882.2857142857,male,Eritrea
231,232,44387.5555555556,female,Eritrea
231,262,1458,male,Djibouti
231,262,1388.88888888889,female,Djibouti
231,646,62.4285714285714,male,Rwanda
231,646,60.2222222222222,female,Rwanda
231,706,212365.285714286,male,Somalia
231,706,233247.396825397,female,Somalia
231,728,135134.714285714,male,South Sudan
231,728,133820.031746032,female,South Sudan
231,729,22754.5714285714,male,Sudan
231,729,22601.4603174603,female,Sudan
231,800,91.2857142857143,male,Uganda
231,800,87.4603174603175,female,Uganda
231,887,285,male,Yemen
231,887,301.68253968254,female,Yemen
404,108,2168.28571428571,male,Burundi
404,108,2383.68253968254,female,Burundi
404,180,5868.85714285714,male,Democratic Republic of the Congo
404,180,6456.19047619048,female,Democratic Republic of the Congo
404,231,15751.2857142857,male,Ethiopia
404,231,15187.0158730159,female,Ethiopia
404,232,526.714285714286,male,Eritrea
404,232,586.888888888889,female,Eritrea
404,508,358,male,Mozambique
404,508,370.095238095238,female,Mozambique
404,516,40.5714285714286,male,Namibia
404,516,42.1587301587302,female,Namibia
404,646,2566.14285714286,male,Rwanda
404,646,2747.39682539683,female,Rwanda
404,706,137065.428571429,male,Somalia
404,706,143951.174603175,female,Somalia
404,710,66.4285714285714,male,South Africa
404,710,69.8730158730159,female,South Africa
404,728,34802,male,South Sudan
404,728,36993.5873015873,female,South Sudan
404,729,16569.8571428571,male,Sudan
404,729,17180.7301587302,female,Sudan
404,800,117758.714285714,male,Uganda
404,800,140159.714285714,female,Uganda
